Model,MAE (Total),RMSE (Total),MASE (Total),WMAPE (Total),MAE (Seasonal),RMSE (Seasonal)
ARIMA,191749.8366099223,192170.50739156952,6802.202674214339,1714.5554232666286,169780.31476223032,170236.87461978616
SARIMA,0.138003290255762,0.4846516276291117,inf,inf,12512.470293553308,16996.223203608075
XGBoost,5.86249601812254,197.86126633184605,0.2079682924224225,0.2618548119824944,9159.449164632792,12460.039498400856
LSTM,17.72012460286614,63.146005282387314,0.6286100738966163,0.7914887928019223,9156.349258015807,12458.8431390138
